,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,Height,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,OKC,C,0.9449035812672176,0.7621145374449338,0.5825801150369762,0.6875,0.0,0.5452067242162653,0.233206106870229,0.5121765601217657,0.5916824196597353,0.7368421052631576,0.31,0.0,0.0,0.51,0.5,0.24,0.38,0.73,0.39,0.56,0.12,0.41,0.31,0.3,0.28,0.34
1,Bam Adebayo,MIA,PF,0.5151515151515151,0.6231785835310064,0.5739523418241578,0.65625,0.022727272727272728,0.5915492957746479,0.3019083969465649,0.4223744292237444,0.6049149338374291,0.6315789473684211,0.33,0.0,0.02,0.49,0.51,0.38,0.46,0.47,0.62,0.6,0.37,0.36,0.33,0.47,0.3,0.36
2,LaMarcus Aldridge,SAS,C,0.8787878787878788,0.8593697051846833,0.7341824157764997,0.5312500000000002,0.07954545454545456,0.4852339845524761,0.6293893129770992,0.5669710806697108,0.6427221172022685,0.7368421052631576,0.75,0.06,0.08,0.74,0.86,0.45,0.46,0.47,0.46,0.49,0.18,0.18,0.36,0.28,0.2,0.64
3,Nickeil Alexander-Walker,NOP,SG,0.030303030303030304,0.1833276855303287,0.2004930156121611,0.24999999999999992,0.5681818181818182,0.18627896410722397,0.5206106870229008,0.10654490106544903,0.0945179584120983,0.4210526315789476,0.69,0.58,0.61,0.25,0.4,0.15,0.22,0.09,0.3,0.21,0.5,0.36,0.15,0.6,0.33,0.42
4,Grayson Allen,MEM,SG,0.11019283746556474,0.26296170789562856,0.23541495480690225,0.5312500000000002,0.6363636363636365,0.05452067242162652,0.43282442748091604,0.17503805175038056,0.0945179584120983,0.3684210526315788,0.53,0.58,0.59,0.23,0.29,0.3,0.32,0.03,0.16,0.1,0.2,0.09,0.05,0.4,0.29,0.46
5,Jarrett Allen,BRK,C,0.512396694214876,0.5798034564554387,0.6101068200493016,0.7812500000000001,0.045454545454545456,0.5992730577010449,0.23091603053435117,0.471841704718417,0.5085066162570888,0.7368421052631576,0.3,0.0,0.03,0.5,0.46,0.36,0.43,0.58,0.62,0.66,0.14,0.18,0.54,0.3,0.32,0.37
6,Kadeem Allen,NYK,SG,0.030303030303030304,0.2189088444595052,0.26705012325390304,0.28124999999999994,0.42045454545454547,0.0999545661063153,0.31450381679389305,0.17732115677321159,0.045368620037807186,0.21052631578947353,0.42,0.26,0.26,0.3,0.41,0.35,0.4,0.12,0.17,0.14,0.57,0.45,0.13,0.44,0.37,0.36
7,Al-Farouq Aminu,ORL,PF,0.7575757575757576,0.7224669603524229,0.3323746918652424,0.4375000000000001,0.5568181818181818,0.4484325306678782,0.20725190839694657,0.2656012176560122,0.4858223062381853,0.5789473684210523,0.33,0.36,0.37,0.17,0.24,0.2,0.22,0.25,0.55,0.47,0.14,0.45,0.21,0.23,0.2,0.24
8,Justin Anderson,BRK,SF,0.5234159779614325,0.2019654354456116,0.3434675431388661,0.40625000000000006,0.5568181818181818,0.3293957292139936,0.34312977099236636,0.17960426179604266,0.14177693761814744,0.4210526315789476,0.47,0.32,0.46,0.27,0.31,0.27,0.31,0.25,0.36,0.34,0.15,0.36,0.21,0.26,0.32,0.34
9,Kyle Anderson,MEM,PF,0.8209366391184573,0.4527278888512368,0.384963023829088,0.5000000000000002,0.1931818181818182,0.35620172648796,0.13854961832061066,0.2458143074581431,0.4914933837429112,0.6315789473684211,0.22,0.08,0.11,0.3,0.33,0.18,0.22,0.19,0.44,0.36,0.33,0.68,0.28,0.26,0.23,0.18
10,Ryan Anderson,HOU,C,0.5371900826446281,0.6645205015249067,0.38126540673788006,0.5000000000000002,0.6704545454545454,0.3057701044979555,0.3274809160305343,0.3888888888888889,0.21928166351606806,0.6315789473684211,0.51,0.56,0.56,0.22,0.28,0.26,0.26,0.31,0.28,0.3,0.09,0.09,0.1,0.16,0.19,0.42
11,Giannis Antetokounmpo,MIL,PF,0.9201101928374655,0.9203659776347001,0.9313886606409204,0.65625,0.17045454545454544,0.5965470240799636,0.7740458015267176,0.6978691019786911,0.8223062381852552,0.7368421052631576,0.76,0.14,0.2,0.78,0.79,0.67,0.79,0.31,0.71,0.6,0.51,0.5,0.41,0.65,0.32,0.79
12,Carmelo Anthony,POR,PF,0.7052341597796143,0.8905455777702472,0.4827444535743632,0.40625000000000006,0.36363636363636365,0.31531122217174007,0.616412213740458,0.32572298325722987,0.3686200378071834,0.5789473684210523,0.77,0.38,0.42,0.48,0.63,0.37,0.4,0.19,0.41,0.34,0.22,0.27,0.13,0.33,0.27,0.58
13,OG Anunoby,TOR,SF,0.4793388429752066,0.5479498475093187,0.2863599013968776,0.5937499999999999,0.5568181818181818,0.21081326669695585,0.16603053435114504,0.25722983257229837,0.45746691871455575,0.5263157894736841,0.31,0.34,0.35,0.23,0.24,0.12,0.16,0.22,0.26,0.23,0.11,0.5,0.15,0.21,0.3,0.26
14,Ryan Arcidiacono,CHI,PG,0.349862258953168,0.4215520162656727,0.24732949876746096,0.5624999999999999,0.6704545454545454,0.11767378464334394,0.06832061068702287,0.2861491628614916,0.15689981096408318,0.31578947368421056,0.19,0.34,0.34,0.11,0.14,0.14,0.16,0.09,0.19,0.14,0.42,0.36,0.0,0.19,0.29,0.16
15,Trevor Ariza,POR,SF,0.8650137741046832,0.8942731277533038,0.3311421528348398,0.5000000000000002,0.7386363636363636,0.21808268968650607,0.1904580152671756,0.3188736681887367,0.4026465028355387,0.5789473684210523,0.34,0.48,0.5,0.13,0.16,0.16,0.18,0.11,0.3,0.23,0.21,0.64,0.08,0.16,0.16,0.27
16,DJ Augustin,ORL,PG,0.8732782369146006,0.5411724839037614,0.40304026294165984,0.5937499999999999,0.5568181818181818,0.05406633348477964,0.3290076335877863,0.3493150684931507,0.19092627599243855,0.10526315789473706,0.4,0.44,0.42,0.2,0.28,0.36,0.37,0.08,0.1,0.08,0.57,0.27,0.0,0.4,0.15,0.37
17,Deandre Ayton,PHO,C,0.20110192837465565,0.8203998644527278,0.6700903861955628,0.625,0.011363636363636364,0.7033166742389821,0.4736641221374046,0.40258751902587525,0.33459357277882795,0.7368421052631576,0.62,0.0,0.02,0.77,0.79,0.24,0.28,0.61,0.67,0.71,0.17,0.27,0.33,0.4,0.33,0.55
18,Dwayne Bacon,CHO,SG,0.2727272727272727,0.29922060318536087,0.15406737880032867,0.24999999999999992,0.31818181818181823,0.2080872330758746,0.25572519083969464,0.13470319634703198,0.10396975425330814,0.4736842105263159,0.41,0.22,0.26,0.3,0.42,0.18,0.19,0.08,0.31,0.22,0.18,0.27,0.05,0.21,0.27,0.25
19,Marvin Bagley,SAC,PF,0.10743801652892562,0.616401219925449,0.5879211175020542,0.5000000000000002,0.15909090909090912,0.5561108587005906,0.565648854961832,0.2853881278538813,0.27788279773156904,0.7368421052631576,0.7,0.14,0.18,0.67,0.76,0.42,0.52,0.56,0.54,0.6,0.1,0.18,0.33,0.37,0.29,0.61
20,Lonzo Ball,NOP,PG,0.34710743801652894,0.8508980006777365,0.3483976992604766,0.28124999999999994,0.6136363636363636,0.2998636983189459,0.3061068702290076,0.15525114155251143,0.4102079395085066,0.4736842105263159,0.42,0.42,0.49,0.19,0.26,0.08,0.12,0.2,0.39,0.33,0.7,0.64,0.18,0.58,0.22,0.25
21,Mo Bamba,ORL,C,0.20110192837465565,0.26838359878007456,0.5078060805258833,0.46875000000000017,0.3863636363636364,0.6428895956383461,0.2954198473282442,0.20395738203957386,0.31568998109640833,0.7894736842105264,0.42,0.24,0.29,0.36,0.38,0.15,0.23,0.56,0.64,0.66,0.13,0.18,0.85,0.33,0.51,0.32
22,JJ Barea,DAL,PG,0.5757575757575758,0.4825482887156895,0.5078060805258833,0.4375000000000001,0.4545454545454546,0.1258518855065879,0.5919847328244275,0.27549467275494677,0.14744801512287334,0.05263157894736882,0.67,0.48,0.49,0.38,0.49,0.21,0.23,0.08,0.19,0.14,0.82,0.18,0.0,0.58,0.15,0.49
23,Harrison Barnes,SAC,PF,0.9228650137741047,0.8986784140969163,0.41741988496302385,0.5000000000000002,0.3522727272727273,0.22989550204452522,0.4396946564885496,0.33866057838660585,0.3175803402646503,0.5789473684210523,0.57,0.32,0.33,0.41,0.51,0.33,0.34,0.17,0.28,0.23,0.15,0.18,0.05,0.19,0.1,0.46
24,RJ Barrett,NYK,SG,0.05509641873278237,0.7885462555066078,0.2744453574363188,0.28124999999999994,0.3068181818181818,0.24079963652885045,0.5473282442748092,0.03805175038051751,0.22684310018903595,0.4736842105263159,0.64,0.26,0.31,0.42,0.58,0.36,0.5,0.17,0.33,0.27,0.27,0.41,0.1,0.49,0.23,0.45
25,Will Barton,DEN,SF,0.7933884297520661,0.7871907827854964,0.46014790468364836,0.46875000000000017,0.4318181818181818,0.2844161744661517,0.4389312977099237,0.3584474885844749,0.3119092627599244,0.4210526315789476,0.57,0.38,0.4,0.36,0.45,0.29,0.31,0.17,0.36,0.29,0.35,0.36,0.15,0.35,0.18,0.45
26,Keita Bates-Diop,DEN,SF,0.1046831955922865,0.3283632666892579,0.29868529170090385,0.40625000000000006,0.4659090909090909,0.25397546569741025,0.20763358778625954,0.18340943683409439,0.09829867674858224,0.5789473684210523,0.38,0.26,0.34,0.26,0.31,0.23,0.28,0.2,0.33,0.27,0.09,0.36,0.28,0.09,0.16,0.28
27,Nicolas Batum,CHO,SF,0.7493112947658402,0.8471704506946796,0.4116680361544782,0.46875000000000017,0.5340909090909091,0.27214902317128575,0.3240458015267175,0.2914764079147641,0.4310018903591683,0.6315789473684211,0.41,0.36,0.39,0.24,0.31,0.23,0.25,0.14,0.37,0.28,0.51,0.36,0.15,0.47,0.11,0.31
28,Aron Baynes,PHO,C,0.8099173553719008,0.33615723483564885,0.4260476581758423,0.5000000000000002,0.125,0.5656519763743753,0.2763358778625954,0.26636225266362257,0.32892249527410206,0.6842105263157894,0.38,0.12,0.13,0.41,0.47,0.25,0.27,0.53,0.52,0.57,0.15,0.05,0.33,0.33,0.54,0.31
29,Kent Bazemore,SAC,SF-SG,0.859504132231405,0.6499491697729582,0.33319638455217754,0.40625000000000006,0.47727272727272724,0.226715129486597,0.4129770992366412,0.13926940639269408,0.4347826086956522,0.3684210526315788,0.51,0.38,0.42,0.3,0.38,0.27,0.31,0.11,0.33,0.25,0.29,0.68,0.21,0.47,0.33,0.38
30,Darius Bazley,OKC,PF,0.06887052341597796,0.3849542527956624,0.22925225965488907,0.34375,0.5,0.39073148568832344,0.20763358778625954,0.12176560121765603,0.30245746691871456,0.5789473684210523,0.33,0.32,0.34,0.17,0.27,0.15,0.18,0.16,0.51,0.4,0.1,0.23,0.36,0.21,0.13,0.21
31,Bradley Beal,WAS,SG,0.8732782369146006,0.952558454761098,0.6421528348397699,0.5937499999999999,0.42045454545454547,0.13675601999091322,0.7110687022900763,0.528158295281583,0.3251417769376182,0.31578947368421056,0.84,0.54,0.53,0.53,0.62,0.46,0.49,0.12,0.18,0.15,0.42,0.41,0.1,0.47,0.19,0.74
32,Malik Beasley,MIN,SG,0.5068870523415978,0.34835648932565233,0.33278553820870993,0.5000000000000002,0.5681818181818182,0.129486597001363,0.3564885496183206,0.24353120243531207,0.1720226843100189,0.3684210526315788,0.58,0.58,0.56,0.29,0.33,0.13,0.16,0.09,0.19,0.14,0.17,0.32,0.05,0.21,0.19,0.45
33,Marco Belinelli,SAS,SG,0.8870523415977961,0.523551338529312,0.32949876746096957,0.5000000000000002,0.5909090909090909,0.07587460245343026,0.37519083969465644,0.2473363774733638,0.1550094517958412,0.4210526315789476,0.52,0.5,0.52,0.24,0.32,0.27,0.27,0.05,0.15,0.09,0.23,0.23,0.05,0.21,0.14,0.42
34,Jordan Bell,MEM,C-PF,0.325068870523416,0.1650288037953236,0.4506984387838949,0.5937499999999999,0.045454545454545456,0.48069059518400725,0.17557251908396945,0.22450532724505332,0.21550094517958415,0.5789473684210523,0.25,0.0,0.02,0.41,0.42,0.16,0.23,0.42,0.47,0.5,0.35,0.41,0.62,0.37,0.35,0.23
35,DeAndre' Bembry,ATL,SG,0.4214876033057851,0.4157912572009488,0.23253903040262944,0.34375,0.29545454545454547,0.26306224443434795,0.24236641221374053,0.11035007610350078,0.22117202268431005,0.4210526315789476,0.36,0.14,0.21,0.32,0.38,0.14,0.21,0.17,0.36,0.29,0.31,0.73,0.18,0.49,0.32,0.23
36,Dragan Bender,GSW,SF,0.41597796143250687,0.4378176889190104,0.14585045193097784,0.37500000000000006,0.6818181818181818,0.3203089504770558,0.15076335877862593,0.12404870624048708,0.11909262759924386,0.7894736842105264,0.27,0.36,0.41,0.12,0.15,0.1,0.12,0.17,0.41,0.34,0.19,0.09,0.28,0.35,0.35,0.16
37,Davis Bertans,WAS,PF,0.6556473829201102,0.38935953913927474,0.4009860312243221,0.6875,0.8295454545454545,0.20899591094956835,0.25648854961832057,0.3143074581430746,0.2457466918714556,0.6842105263157894,0.43,0.74,0.66,0.1,0.12,0.16,0.18,0.12,0.3,0.23,0.17,0.23,0.21,0.16,0.29,0.39
38,Patrick Beverley,LAC,PG,0.6666666666666666,0.7217892239918672,0.35004108463434674,0.5000000000000002,0.6363636363636365,0.25988187187641976,0.1633587786259542,0.3554033485540335,0.3686200378071834,0.21052631578947353,0.3,0.4,0.4,0.13,0.19,0.14,0.15,0.22,0.31,0.28,0.43,0.55,0.13,0.26,0.43,0.22
39,Khem Birch,ORL,C,0.2865013774104683,0.2761775669264656,0.48356614626129824,0.65625,0.0,0.5361199454793275,0.10801526717557253,0.2671232876712329,0.17958412098298676,0.6315789473684211,0.16,0.0,0.0,0.33,0.35,0.31,0.4,0.62,0.43,0.54,0.17,0.27,0.31,0.16,0.38,0.2
